100 233 5608
200 325 5612
300 471 5612
400 683 5612
500 947 5612
600 1267 5640
700 1652 7260
800 2095 9160
900 2594 10956
1000 3152 13328
1100 3769 15708
1200 4443 18364
1300 5174 21208
1400 5972 24416
1500 6819 27816
1600 7729 31512
1700 8704 35508
1800 9728 39468
1900 10809 43912
2000 11963 48444
2100 13170 53192
2200 14423 58268
2300 15744 63492
2400 17121 69036
2500 18560 74888
2600 20083 80812
2700 21647 86952
2800 23276 93548
2900 24888 100088
3000 26619 106948
3100 28412 114196
3200 30270 121672
3300 32163 129188
3400 34126 137044
3500 36147 145232
3600 38243 153568
3700 40375 162200
